# Total AGB yield table from MESA stellar evolution models
# Combines Early-AGB (EAGB) + Thermally-Pulsing AGB (TPAGB)
# Columns:
#   1: M_init    - Initial stellar mass (Msun)
#   2: Z_init    - Initial metallicity (mass fraction)
#   3: t_start   - AGB start time (Myr)
#   4: t_end     - AGB end time (Myr)
#   5: C_yield   - Carbon-12 yield (Msun)
#   6: N_yield   - Nitrogen-14 yield (Msun)
#   7: O_yield   - Oxygen-16 yield (Msun)
#   8: Ne_yield  - Neon-20 yield (Msun)
#   9: Mg_yield  - Magnesium-24 yield (Msun)
#  10: Z_total   - Total metal yield (Msun)
#  11: M_lost    - Total mass lost (Msun)
#
# M_init  Z_init     t_start    t_end      C_yield    N_yield    O_yield    Ne_yield   Mg_yield   Z_total    M_lost
 3.500  0.005000     242.997     245.370    0.014652    0.002385    0.006382   0.0015698   0.0027373    0.028445    2.64672
 3.500  0.010000     273.100     276.649    0.023701    0.004838    0.012579   0.0032633   0.0055878    0.051587    2.75497
 3.500  0.015000     292.835     297.523    0.024120    0.006915    0.017549   0.0048307   0.0082750    0.063652    2.71997
 3.500  0.020000     304.641     309.783    0.024319    0.008751    0.022480   0.0063251   0.0108358    0.074962    2.67131
 3.500  0.030000     311.062     316.621    0.021835    0.011803    0.031154   0.0089968   0.0154134    0.091592    2.53323
 4.000  0.000100     144.836     145.973    0.001835    0.009317    0.001035   0.0000469   0.0000643    0.012593    3.09102
 4.000  0.001000     156.362     157.469    0.001839    0.008215    0.001909   0.0003723   0.0006420    0.013322    3.10333
 4.000  0.002000     162.494     163.735    0.003074    0.009779    0.003303   0.0007424   0.0012886    0.018759    3.11459
 4.000  0.003000     167.034     168.430    0.006353    0.009186    0.004720   0.0011057   0.0019220    0.024257    3.09715
 4.000  0.004000     171.279     172.715    0.006541    0.007324    0.005731   0.0014681   0.0025587    0.025139    3.09256
 4.000  0.005000     174.649     176.187    0.009124    0.005378    0.006857   0.0018358   0.0032019    0.028343    3.09598
 4.000  0.010000     190.128     192.217    0.014161    0.005658    0.012569   0.0036449   0.0063644    0.043322    3.07708
 4.000  0.015000     201.523     204.036    0.016135    0.007842    0.018249   0.0053562   0.0093553    0.058128    3.01541
 4.000  0.020000     207.930     210.805    0.017545    0.010293    0.024672   0.0072909   0.0124900    0.073951    3.07908
 4.000  0.030000     210.974     214.173    0.017191    0.013163    0.033130   0.0098363   0.0168517    0.092079    2.76961
 4.500  0.000100     112.710     113.484    0.001855    0.008101    0.000898   0.0000587   0.0000717    0.011187    3.41030
 4.500  0.001000     120.388     121.192    0.001511    0.007260    0.001601   0.0003994   0.0006853    0.011806    3.31162
 4.500  0.002000     124.136     125.085    0.004130    0.009301    0.003316   0.0008523   0.0014453    0.019550    3.56191
 4.500  0.003000     127.460     128.434    0.002309    0.010205    0.004475   0.0012671   0.0021625    0.020869    3.55358
 4.500  0.004000     129.929     130.995    0.003900    0.011343    0.006017   0.0016862   0.0028794    0.026522    3.54880
 4.500  0.005000     132.055     133.171    0.004615    0.013051    0.007856   0.0021085   0.0035964    0.032094    3.54583
 4.500  0.010000     141.445     142.764    0.008599    0.010916    0.013714   0.0041664   0.0071337    0.046761    3.51711
 4.500  0.015000     146.930     148.684    0.015095    0.009838    0.019984   0.0061239   0.0104886    0.063322    3.44752
 4.500  0.020000     151.144     152.988    0.018538    0.012381    0.026548   0.0081076   0.0138880    0.081227    3.42367
 4.500  0.030000     151.772     153.889    0.015618    0.016506    0.037084   0.0114191   0.0195636    0.102026    3.21534
 5.000  0.000100      90.514      91.105    0.000727    0.004058    0.000433   0.0000584   0.0000840    0.005460    4.02495
 5.000  0.001000      95.807      96.416    0.001841    0.005991    0.001343   0.0004875   0.0008195    0.010657    4.03753
 5.000  0.002000      98.625      99.282    0.001211    0.007073    0.002587   0.0009575   0.0016632    0.013832    4.02001
 5.000  0.003000     100.694     101.407    0.002405    0.008813    0.004240   0.0014301   0.0024871    0.019695    4.00772
 5.000  0.004000     102.569     103.312    0.001486    0.010290    0.005661   0.0019050   0.0032565    0.023132    4.01373
 5.000  0.005000     103.517     104.384    0.001967    0.012005    0.007325   0.0023791   0.0040690    0.028299    4.01218
 5.000  0.010000     109.288     110.272    0.003654    0.016884    0.014661   0.0046963   0.0080411    0.049093    3.96452
 5.000  0.015000     112.899     114.044    0.007344    0.017592    0.021607   0.0069165   0.0118467    0.067700    3.89394
 5.000  0.020000     114.850     116.148    0.015898    0.015279    0.028616   0.0090764   0.0155476    0.087120    3.83281
 5.000  0.030000     114.416     115.905    0.017057    0.019203    0.039310   0.0124127   0.0212657    0.111245    3.49506
 6.000  0.000100      63.002      63.333    0.001737    0.002522    0.000338   0.0000753   0.0001042    0.004785    4.94099
