NGC0720            6.28410E+00    3.68375E-01    6.01752E-01    4.42746E-01   -6.86837E-01    2.11521E-01            ---            ---            ---            ---    1.13693E+01    4.32821E-02   -1.29649E+01    4.11179E-01            ---            ---
PGC007045          6.27142E+00    8.76921E-02    1.66620E-01    9.73155E-02   -9.16402E-01    4.66151E-02            ---            ---            ---            ---    9.57551E+00    6.28919E-02   -1.11125E+01    3.80058E-01            ---            ---
NGC0855            5.57911E+00    9.17383E-02    6.63450E-01    8.80958E-02   -1.09630E+00    6.56869E-02    8.28084E+00    3.03078E-02            ---            ---    8.96542E+00    7.87703E-02   -1.07374E+01    2.13946E-01            ---            ---
PGC008962          5.79444E+00    3.38297E-01    7.11614E-02    3.19102E-01   -1.31878E+00    1.61138E-01    9.19356E+00    2.82557E-02            ---            ---    8.66888E+00    1.52725E-01   -9.70310E+00    1.61008E-01    8.05531E+00    7.83640E-02
NGC0895            7.75043E+00    4.12659E-02    4.78203E-02    3.73896E-02   -8.68793E-01    1.06292E-02    1.02768E+01    1.90727E-02            ---            ---    1.02933E+01    6.87168E-02   -9.83083E+00    8.58280E-02    8.43086E+00    3.06293E-02
NGC0891            7.74384E+00    7.95372E-03    4.87285E-01    1.34121E-02   -1.02107E+00    1.30492E-02    1.00100E+01    4.93374E-02   -6.19458E-01    1.43458E-01    1.04899E+01    1.05221E-01   -1.03352E+01    2.96397E-01            ---            ---
NGC0925            7.46667E+00    5.64088E-02   -2.92740E-01    7.42226E-02   -9.53471E-01    6.95506E-02    1.00670E+01    2.13065E-03   -1.76271E+00    1.37865E-01    9.67048E+00    8.53449E-02   -9.61260E+00    8.89155E-02    8.30309E+00    1.19156E-02
PGC009485          6.59679E+00    2.26472E-01    8.98755E-01    2.41143E-01   -1.10082E+00    6.44333E-02            ---            ---            ---            ---    9.93842E+00    7.13362E-02   -9.84327E+00    1.17386E-01            ---            ---
NGC1056            7.24561E+00    3.41839E-02    7.18490E-01    3.61965E-02   -1.00294E+00    1.90836E-02    9.97365E+00    2.05708E-02            ---            ---    1.03144E+01    7.83056E-02   -1.00286E+01    1.43327E-01    8.44008E+00    3.64498E-02
NGC1097            7.77634E+00    1.86542E-02    5.85284E-01    2.13540E-02   -1.01095E+00    9.58428E-03    1.02635E+01    6.66232E-02   -4.80336E-01    1.39350E-01    1.08420E+01    7.78381E-02   -1.00398E+01    1.04651E-01    8.54601E+00    4.46508E-02
NGC1140            6.33994E+00    9.06408E-02    9.12299E-01    8.65938E-02   -1.29454E+00    6.50481E-02    9.54964E+00    1.61519E-02   -2.11914E+00    1.65359E-01    9.10150E+00    1.11786E-01   -9.09677E+00    1.14141E-01    8.24764E+00    7.64148E-02
PGC166069          5.33683E+00    3.57914E-01   -1.84206E-01    3.47643E-01   -1.01415E+00    1.56159E-01    7.78866E+00    4.51375E-01            ---            ---    7.98367E+00    1.68387E-01            ---            ---            ---            ---
UGC02392           6.27500E+00    1.73519E-01    6.51230E-02    2.01149E-01   -9.89873E-01    1.10062E-01    9.12952E+00    8.34227E-03            ---            ---    9.44326E+00    9.51088E-02   -1.04327E+01    1.25882E-01            ---            ---
NGC1189            7.02033E+00    1.32228E-01   -1.35859E-01    1.46410E-01   -9.78852E-01    6.57422E-02            ---            ---            ---            ---    9.62219E+00    1.01704E-01   -1.00767E+01    1.19661E-01            ---            ---
NGC1222            6.81681E+00    1.92378E-02    1.46952E+00    1.85340E-02   -1.29674E+00    1.30004E-02    9.47969E+00    4.51096E-02            ---            ---    9.78120E+00    9.02407E-02   -9.03415E+00    1.05139E-01            ---            ---
PGC166071          6.59580E+00    4.53117E-01    3.51464E-01    3.66421E-01   -9.57072E-01    1.52524E-01            ---            ---            ---            ---    1.04035E+01    1.54995E-01            ---            ---            ---            ---
ESO116-012         7.18371E+00    2.91539E-01    1.23762E-02    2.62690E-01   -5.69340E-01    4.17952E-02            ---            ---            ---            ---            ---            ---            ---            ---            ---            ---
NGC1266            6.60316E+00    3.26918E-02    1.53811E+00    3.21369E-02   -1.89169E+00    1.00939E-02            ---            ---            ---            ---    9.96430E+00    9.78837E-02   -9.58113E+00    1.10617E-01            ---            ---
PGC012608          5.96613E+00    2.99988E-01    4.35092E-02    3.11008E-01   -1.04698E+00    1.54272E-01            ---            ---            ---            ---    9.00293E+00    1.27488E-01   -9.91740E+00    1.45431E-01            ---            ---
NGC1317            6.63562E+00    2.70809E-02    6.38116E-01    3.33643E-02   -9.24062E-01    1.44932E-02            ---            ---            ---            ---    1.04065E+01    6.95913E-02   -1.10644E+01    1.64164E-01            ---            ---
NGC1336            5.86777E+00    2.59357E-01   -4.61057E-02    2.67817E-01   -9.43323E-01    1.25050E-01            ---            ---            ---            ---    9.90063E+00    7.47233E-02   -1.16505E+01    3.97561E-01            ---            ---
ESO358-006         5.53967E+00    4.26487E-01    3.88120E-02    5.31050E-01   -8.28582E-01    2.57440E-01            ---            ---            ---            ---    8.16636E+00    1.53108E-01   -9.94743E+00    1.71913E-01            ---            ---
NGC1351A           6.84287E+00    7.43026E-02   -2.27078E-01    8.19230E-02   -8.83897E-01    3.73566E-02    8.91140E+00    9.22521E-02   -8.90657E-01    1.47751E-01    9.46704E+00    8.07759E-02   -1.06144E+01    1.59121E-01            ---            ---
NGC1351            6.14685E+00    3.29891E-01    5.52443E-02    3.36393E-01   -8.62038E-01    1.45847E-01            ---            ---            ---            ---    1.04852E+01    7.60746E-02   -1.21865E+01    3.36788E-01            ---            ---
PGC013058          5.72590E+00    1.81566E-01    1.79029E-01    2.04599E-01   -1.00259E+00    9.93419E-02            ---            ---            ---            ---    8.84886E+00    9.31566E-02   -1.06131E+01    2.18638E-01            ---            ---
PGC013084          5.43102E+00    4.05466E-01   -4.15944E-01    3.65842E-01   -9.02236E-01    1.60895E-01            ---            ---            ---            ---    9.34946E+00    8.17477E-02   -1.15660E+01    1.65423E-01            ---            ---
PGC013097          5.49262E+00    3.47763E-01    1.02379E-01    4.43431E-01   -1.03835E+00    1.96341E-01            ---            ---            ---            ---    8.86473E+00    1.01166E-01   -1.12302E+01    4.58507E-01            ---            ---
PGC013146          5.29989E+00    3.89094E-01   -2.42505E-01    4.18433E-01   -9.74130E-01    1.76453E-01            ---            ---            ---            ---    9.09743E+00    8.99196E-02   -1.14925E+01    3.40815E-01            ---            ---
ESO358-015         5.23516E+00    3.26715E-01    1.27193E-01    3.58360E-01   -1.06681E+00    1.67501E-01    8.29596E+00    5.03472E-02            ---            ---    8.38641E+00    1.27473E-01   -1.01455E+01    1.59491E-01            ---            ---
ESO358-016         5.79935E+00    3.89732E-01   -1.31166E-02    3.99403E-01   -1.05624E+00    1.66715E-01            ---            ---            ---            ---    8.37095E+00    1.60295E-01   -1.00846E+01    2.14114E-01            ---            ---
NGC1365            8.01757E+00    1.96118E-02    7.22955E-01    3.34079E-02   -1.16330E+00    1.85483E-02    1.03999E+01    6.81287E-02   -4.07952E-01    1.39205E-01    1.08102E+01    9.17991E-02   -9.76022E+00    1.94293E-01    8.55121E+00    1.20165E-02
PGC013230          5.52072E+00    4.47691E-01   -2.88748E-01    4.10315E-01   -9.44614E-01    1.79250E-01            ---            ---            ---            ---    9.14048E+00    8.62154E-02   -1.16331E+01    5.10032E-01            ---            ---
ESO358-019         5.71571E+00    5.31785E-01   -4.38434E-01    4.90239E-01   -1.06534E+00    2.17597E-01            ---            ---            ---            ---    8.37698E+00    1.89100E-01            ---            ---            ---            ---
NGC1373            5.37816E+00    3.80205E-01   -2.55989E-01    3.73975E-01   -8.94657E-01    1.65541E-01            ---            ---            ---            ---    9.56723E+00    6.47327E-02   -1.22343E+01    3.76867E-01            ---            ---
NGC1374            5.48201E+00    2.57042E-01    3.81482E-01    2.64344E-01   -8.62497E-01    9.03284E-02            ---            ---            ---            ---    1.05662E+01    4.55028E-02   -1.27946E+01    1.72182E-01            ---            ---
IC0335             5.74505E+00    2.92806E-01    1.31277E-02    3.08856E-01   -8.65214E-01    1.45435E-01            ---            ---            ---            ---    1.02355E+01    7.40912E-02   -1.23577E+01    3.59722E-01            ---            ---
NGC1379            5.83725E+00    2.62653E-01    2.87963E-01    3.24604E-01   -8.87742E-01    1.54555E-01            ---            ---            ---            ---    1.05737E+01    7.24193E-02   -1.25618E+01    3.98405E-01            ---            ---
NGC1381            5.64160E+00    3.39134E-01    3.50414E-01    4.15126E-01   -7.78780E-01    2.04977E-01            ---            ---            ---            ---    1.05968E+01    3.33957E-02   -1.28157E+01    4.46580E-01            ---            ---
NGC1369            5.26419E+00    3.84303E-01   -2.57569E-01    3.71750E-01   -8.95606E-01    1.61187E-01            ---            ---            ---            ---    9.85141E+00    6.35204E-02   -1.24332E+01    3.38184E-01            ---            ---
NGC1386            6.64543E+00    1.58126E-02    8.37024E-01    1.56393E-02   -9.66837E-01    5.61863E-03            ---            ---            ---            ---    1.02527E+01    7.78280E-02   -1.10468E+01    3.65872E-01    8.55659E+00    4.23471E-02
NGC1380A           5.72779E+00    2.46887E-01    1.37055E-01    2.80919E-01   -9.21019E-01    1.34605E-01            ---            ---            ---            ---    9.98003E+00    4.38231E-02   -1.19890E+01    3.88138E-01            ---            ---
PGC013343          5.76774E+00    2.86747E-01   -2.59884E-01    3.45809E-01   -8.69883E-01    1.51900E-01            ---            ---            ---            ---    9.21734E+00    7.86285E-02   -1.17056E+01    4.10273E-01            ---            ---
NGC1387            6.36137E+00    5.73706E-02    8.44091E-01    5.32572E-02   -1.05943E+00    4.37878E-02            ---            ---            ---            ---    1.08259E+01    6.66164E-02   -1.19598E+01    2.65755E-01            ---            ---
NGC1389            6.07205E+00    2.78578E-01    1.55440E-01    3.16849E-01   -8.53864E-01    1.48914E-01            ---            ---            ---            ---    1.05402E+01    8.60139E-02   -1.24757E+01    2.93009E-01            ---            ---
ESO358-042         5.13068E+00    4.87563E-01   -5.25358E-01    4.77215E-01   -1.07262E+00    2.11184E-01            ---            ---            ---            ---    8.94480E+00    9.61295E-02            ---            ---            ---            ---
ESO358-043         6.01434E+00    2.56453E-01   -2.68054E-01    2.91923E-01   -9.63598E-01    1.36024E-01            ---            ---            ---            ---    9.27762E+00    7.82802E-02   -1.11441E+01    4.60165E-01            ---            ---
NGC1399            5.96575E+00    6.29038E-01    7.39488E-01    5.69296E-01   -4.80089E-01    4.21310E-01            ---            ---            ---            ---    1.14546E+01    1.01806E-01   -1.22505E+01    2.10928E-01            ---            ---
NGC1404            5.73515E+00    2.95415E-01    5.93091E-01    3.03745E-01   -7.05535E-01    5.32940E-02            ---            ---            ---            ---    1.11239E+01    3.55946E-02   -1.29847E+01    2.19989E-01            ---            ---
NGC1427A           6.22858E+00    1.23364E-01   -5.33996E-02    1.26266E-01   -1.29500E+00    8.39209E-02    9.32805E+00    4.73549E-02            ---            ---    8.96567E+00    9.15303E-02   -9.79334E+00    1.06028E-01    8.12940E+00    7.58921E-03
NGC1412            5.39447E+00    2.50371E-01    6.96447E-01    2.55617E-01   -1.02193E+00    1.29005E-01    9.24210E+00    1.23056E-01            ---            ---    1.01113E+01    5.75817E-02   -1.16933E+01    4.74282E-01            ---            ---
NGC1419            5.70413E+00    2.96680E-01   -8.42100E-02    3.13879E-01   -9.12957E-01    1.37412E-01            ---            ---            ---            ---    1.00633E+01    7.24409E-02   -1.21649E+01    2.86800E-01            ---            ---
ESO358-050         5.68824E+00    2.84034E-01   -8.53502E-02    2.93419E-01   -9.58206E-01    1.30719E-01            ---            ---            ---            ---    9.77464E+00    6.08657E-02   -1.18172E+01    2.49501E-01            ---            ---
ESO358-051         6.09242E+00    1.90650E-01    2.21223E-01    1.77212E-01   -1.09092E+00    4.21393E-02    8.33317E+00    1.21718E-01            ---            ---    8.75088E+00    9.23574E-02   -9.89705E+00    1.16412E-01    8.26226E+00    8.46493E-03
NGC1427            6.19108E+00    3.75856E-01    1.07409E-01    3.58478E-01   -8.56989E-01    1.57308E-01            ---            ---            ---            ---    1.05771E+01    4.02728E-02   -1.24227E+01    3.80840E-01            ---            ---
NGC1428            5.72860E+00    2.92868E-01    3.09431E-02    2.99476E-01   -9.07067E-01    1.41492E-01            ---            ---            ---            ---    9.90037E+00    3.95256E-02   -1.23698E+01    2.93497E-01            ---            ---
PGC013635          5.69775E+00    1.99335E-01   -2.31395E-02    2.27776E-01   -9.42930E-01    1.15754E-01            ---            ---            ---            ---    9.05424E+00    6.39202E-02   -1.08430E+01    1.25992E-01            ---            ---
ESO358-054         6.15738E+00    1.46706E-01   -8.01693E-02    1.63374E-01   -1.27365E+00    9.42588E-02    8.82660E+00    3.67612E-02            ---            ---    8.74881E+00    9.30394E-02   -9.73758E+00    1.03128E-01    8.13361E+00    1.09671E-02
PGC166861          5.59209E+00    3.26378E-01    7.17188E-01    3.32057E-01   -1.29906E+00    1.76213E-01            ---            ---            ---            ---    8.55959E+00    2.18270E-01            ---            ---            ---            ---
ESO358-056         5.25212E+00    2.87652E-01    6.26721E-01    3.28822E-01   -1.15097E+00    1.70832E-01            ---            ---            ---            ---    8.82166E+00    1.02971E-01   -1.09654E+01    4.60452E-01            ---            ---
NGC1436            6.80029E+00    4.48265E-02   -3.37866E-02    4.76067E-02   -7.97785E-01    2.60122E-02    8.39566E+00    8.39729E-02   -4.69225E-01    1.42899E-01    9.93028E+00    6.66562E-02   -1.12114E+01    2.08446E-01    8.56077E+00    7.00890E-03
UGC02826           6.70837E+00    7.07099E-02    6.35868E-01    7.43701E-02   -9.16274E-01    3.32470E-02            ---            ---            ---            ---    1.00096E+01    8.78793E-02   -1.06812E+01    2.32620E-01            ---            ---
ESO358-059         5.33716E+00    3.68781E-01   -2.03732E-01    3.71222E-01   -9.44047E-01    1.59336E-01            ---            ---            ---            ---    9.68446E+00    7.73545E-02   -1.18662E+01    5.07636E-01            ---            ---
ESO358-060         5.07127E+00    6.29777E-01   -1.94303E-02    4.80907E-01   -1.47759E+00    2.38731E-01    7.94674E+00    2.60657E-02            ---            ---    7.59633E+00    2.95963E-01   -9.14327E+00    2.97841E-01    7.89369E+00    1.58412E-01
PGC166077          5.14358E+00    2.67115E-01   -5.70862E-01    3.32767E-01   -1.10188E+00    1.98013E-01    6.47450E+00    8.99547E-02            ---            ---    7.10978E+00    2.02777E-01   -9.25834E+00    2.07565E-01            ---            ---
NGC1437B           6.22847E+00    8.00644E-02   -2.02252E-01    8.57524E-02   -9.03980E-01    3.70582E-02            ---            ---            ---            ---    8.75402E+00    1.00616E-01   -1.05240E+01    2.59470E-01            ---            ---
ESO358-063         7.05320E+00    3.05007E-02    3.07898E-01    2.77293E-02   -8.89546E-01    1.31660E-02    9.38045E+00    5.42329E-02   -6.62130E-01    1.44587E-01    9.81973E+00    8.23906E-02   -1.02041E+01    1.61786E-01            ---            ---
IC0342             7.49937E+00    5.28479E-02    4.37575E-01    4.85392E-02   -9.10169E-01    2.45036E-02            ---            ---            ---            ---    1.02834E+01    7.38065E-02   -9.68378E+00    7.86848E-02    8.55229E+00    6.31014E-02
ESO358-066         5.49700E+00    3.78925E-01   -1.16461E-01    4.30497E-01   -1.08815E+00    1.89147E-01            ---            ---            ---            ---    8.79103E+00    1.15642E-01            ---            ---            ---            ---
ESO359-002         5.72152E+00    3.81406E-01   -3.21636E-02    4.16728E-01   -9.77497E-01    1.67538E-01            ---            ---            ---            ---    9.32908E+00    1.56159E-01   -1.12463E+01    4.38867E-01            ---            ---
NGC1482            7.07337E+00    1.15116E-02    1.19669E+00    9.56864E-03   -1.11349E+00    6.87755E-03            ---            ---            ---            ---    9.94124E+00    9.18135E-02   -9.23703E+00    9.67715E-02            ---            ---
