group_index,selected,mass_bin_log10,M200c_Msun,log10_M200c_Msun,R200c_kpc_h,GroupLen,GroupNsubs,x_Mpc_h,y_Mpc_h,z_Mpc_h,edge_distance_Mpc_h,neighbor_group_index,neighbor_M200c_Msun,neighbor_mass_ratio,neighbor_distance_Mpc_h,neighbor_distance_over_R200c,score
4871,0,,116394710767.43204,11.065933245462416,69.5956802368164,1030,1,43.790921875,43.37259765625,27.125830078125002,6.209078124999998,7804,66926963826.551796,0.5750000441195166,1.6595935546913938,23.846215009957785,1.0
4872,0,,107180130177.14484,11.030114280186426,67.71057128906251,1030,1,25.64103125,30.208447265625,35.02044140625,14.97955859375,522,1273430944976.5347,11.881222227215414,1.6114593233152406,23.799227988134614,1.0
4888,0,,111059956938.75435,11.045557500747703,68.5152816772461,1026,2,19.180244140625,30.057271484375,26.302853515625,19.180244140625,449,1449114186949.3418,13.048034835350037,1.789830572823048,26.123085668017477,1.0
4891,0,,95540664058.60144,10.980188255536241,65.16523742675781,1025,2,22.98322265625,19.63976171875,39.1707578125,10.8292421875,2300,204539454840.36713,2.140862813292877,1.37686384825967,21.128808896111064,1.0
4910,0,,108513822175.88554,11.035485060879324,67.990234375,1022,2,25.465482421875002,21.539732421875,32.47917578125,17.52082421875,1853,322146622538.2124,2.9687151007920294,1.651581533487262,24.291452275013018,1.0
4914,0,,108635064327.35559,11.035970025860511,68.01357269287111,1021,1,35.58415625,15.222552734375,24.38400390625,14.41584375,7205,63289628451.024925,0.5825893218078377,2.705070163369657,39.772505049616235,1.0
4916,0,,108877555713.43823,11.036938362451693,68.06288146972656,1020,1,34.8893359375,24.81453125,32.88842578125,15.1106640625,6187,80142613329.91855,0.7360802031674094,1.236784417151024,18.171202723780198,1.0
4917,0,,111059956938.75435,11.045557500747703,68.51799774169923,1020,1,13.9252080078125,25.996654296875,9.880620117187501,9.880620117187501,4867,62440912141.30694,0.5622270516072764,1.2874069271452997,18.789324988721894,1.0
4919,0,,97238082511.75226,10.987836386177305,65.5447998046875,1019,3,22.439962890625,39.93390625,12.171009765625,10.06609375,7181,66320738902.91646,0.6820449065817489,1.4862263290907283,22.67496938764682,1.0
4920,0,,108998797864.90826,11.037421708183597,68.08612823486328,1019,1,9.9808916015625,20.615923828125002,5.56806005859375,5.56806005859375,3611,156647891284.31024,1.4371524673002143,1.0520834027213017,15.452243063258603,1.0
5139,0,,102936576961.12521,11.012569722184871,66.80162048339844,966,1,12.118384765625,39.97870703125,36.20825,10.021292968749997,9587,53468822937.10238,0.5194346316498876,1.362481706432755,20.395937951405827,1.0
5141,0,,92630795758.17995,10.966755394936643,64.49356842041016,965,2,31.96856640625,25.000978515625,10.103573242187501,10.103573242187501,2819,161982645112.9879,1.748691067448632,2.0834629804445495,32.30497290618517,1.0
5146,0,,105118978186.44133,11.021681130657992,67.27230072021484,964,1,6.81056005859375,40.34727734375,5.90708447265625,5.90708447265625,2464,238124175363.54178,2.265282439686576,1.48622376574863,22.09265551849976,1.0
5153,0,,104149019725.25331,11.017655186622537,67.0640640258789,963,1,38.82228125,18.809244140625,9.1791103515625,9.1791103515625,2096,276801165412.45404,2.657741437630999,1.1963958410572786,17.839596487853903,1.0
5394,0,,75292828107.12102,10.876753610173598,60.18829345703125,910,2,12.175333007812501,40.714687500000004,23.241529296875,9.285312499999996,4693,92388304372.09729,1.2270531828164843,1.1011335248960383,18.294812191047477,1.0
5399,0,,96995598208.81218,10.986752025843566,65.49124908447266,910,1,24.146169921875,28.347005859375,39.62959375,10.370406250000002,5437,95904397596.15413,0.9887499986307738,1.2212451302469354,18.647455153462342,1.0
5400,0,,86326076385.17165,10.93614200219932,62.99390029907227,910,1,17.478888671875,12.700792968750001,6.65368212890625,6.65368212890625,1108,518077707545.6425,6.001404549351596,1.3138558196833656,20.856873656745385,1.0
5408,0,,82446256706.70471,10.916170942230055,62.03742599487305,906,1,22.892544921875,19.423470703125002,27.91928125,19.423470703125002,7537,70928025656.48877,0.86029406900557,1.0421924463468706,16.799414702231527,1.0
5410,0,,88872211148.04047,10.948765985585695,63.609275817871094,905,2,18.77565625,15.34984375,12.213741210937501,12.213741210937501,3278,127912941817.64798,1.4392906417572386,1.1309776345616782,17.780074053978286,1.0
5411,0,,96631864671.25949,10.985120360048773,65.40856170654297,905,1,24.577966796875,43.18573828125,24.9927578125,6.8142617187499965,6292,76869011491.94437,0.7954830609287307,1.7410980069074595,26.618808936954405,1.0
5415,0,,102694085575.04256,11.011545432145597,66.75178527832031,905,1,39.64676171875,30.89543359375,5.3965302734375005,5.3965302734375005,6631,73231676116.41751,0.7131050995425076,1.078360368791438,16.15477944590148,1.0
5419,0,,102451594188.95992,11.010518720590623,66.695556640625,905,1,21.63894921875,16.0369931640625,38.23154296875,11.768457031250001,649,530808381359.9866,5.1810651221392705,1.4366864577327936,21.540962098480964,1.0
5425,0,,98571774510.49297,10.993752574888422,65.84661102294922,904,1,16.65812109375,24.79616796875,41.591296875,8.408703125000002,5242,49831487561.575516,0.5055350561460265,2.1677117119664326,32.92062686735586,1.0
5432,0,,93115771447.20267,10.969023245668748,64.6060562133789,902,1,23.193683593750002,5.494271484375,40.14191015625,5.494271484375,4412,134460145493.59634,1.444010433504664,2.7312874443246353,42.27602804455085,1.0
5434,0,,93843238522.30804,10.972402986832313,64.77455139160158,902,1,30.451390625000002,25.88333203125,27.10004296875,19.548609374999998,4450,136642546718.91246,1.456072369949491,1.007350652042374,15.551642279269933,1.0
5436,0,,63289628451.024925,10.80133254610679,56.80371856689453,902,3,40.9180859375,13.63582421875,7.348791015625,7.348791015625,8548,53953798626.12511,0.8524903676417676,0.8928466853599262,15.718102756045294,1.0
5438,0,,96268131133.7068,10.98348254087929,65.32453155517578,901,1,31.76127734375,23.27673828125,40.6983515625,9.301648437499999,8858,55772466313.88854,0.5793450611025799,1.5564685541904517,23.82670823863152,1.0
5443,0,,89235944685.59315,10.95053982561127,63.69633102416992,901,1,32.0521875,9.646931640625,8.543217773437501,8.543217773437501,2333,252794780266.547,2.8328806419568267,1.30606440448307,20.50454686295003,1.0
5456,0,,38919481434.99491,10.590167045074717,48.304141998291016,898,4,14.34775,25.178978515625,7.52314306640625,7.52314306640625,613,833555891339.5791,21.417445983493437,0.7258565417393646,15.026797117419976,1.0
5462,0,,93237013598.6727,10.969588354526914,64.63595581054688,897,1,21.427275390625,22.747580078125,15.30690234375,15.30690234375,4243,122820672291.91037,1.3172952194777163,1.2755738068508986,19.734740375615498,1.0
5466,0,,75292828107.12102,10.876753610173598,60.18937683105469,896,2,34.016921875,13.9439248046875,7.4321171875,7.4321171875,2419,202114569312.11093,2.6843800982552732,0.9053015419247782,15.040885777333521,1.0
5470,0,,95298172672.51878,10.979084573189741,65.1045150756836,895,1,34.800078125,17.9718125,7.83746240234375,7.83746240234375,1856,307839779505.3302,3.230279982001189,1.2489181627443042,19.183280319228928,1.0
5474,0,,93479504984.75536,10.97071640394528,64.68826293945312,894,1,37.477046875,25.111568359375,19.356791015625,12.522953125,7493,60258510915.990814,0.6446173514271153,1.4867592833867265,22.983447318384517,1.0
5490,0,,98329283124.41032,10.992682872923465,65.79022216796875,892,1,31.5302265625,22.18591015625,14.028826171875,14.028826171875,939,625136630987.0302,6.357583530799071,3.722881620469807,56.58715684171021,1.0
5497,0,,100026708660.70372,11.000115978752131,66.16960906982422,891,1,14.22411328125,23.815287109375,43.91509765625,6.084902343750002,7081,73595409653.97018,0.7357575855425774,2.337985470588772,35.333221753232024,1.0
5501,0,,86447325619.78427,10.936751562253828,63.02723693847656,889,3,25.378193359375,25.79523828125,21.990333984375,21.990333984375,7231,63774604140.047646,0.7377279017345592,1.337708592135618,21.224293767493084,1.0
5517,0,,98208040972.94028,10.992147047941836,65.7601547241211,887,2,20.12784375,14.41883984375,43.55604296875,6.443957031250001,4301,105240220337.91136,1.0716049245591681,1.1581540995434005,17.611790975889914,1.0
5531,0,,95419414823.98882,10.979636748845294,65.13423156738281,884,1,13.685586914062501,25.113828125,28.254705078125,13.685586914062501,6700,66684472440.46914,0.6988564388439783,1.3049814955616195,20.03526354972941,1.0
5536,0,,94934439134.9661,10.977423788960925,65.02291107177734,883,2,19.4198046875,14.762438476562501,23.4009921875,14.762438476562501,8632,57469888308.61065,0.6053639630914872,0.9842797728171144,15.137430124138703,1.0
5548,0,,96631864671.25949,10.985120360048773,65.40721130371094,880,2,29.31962890625,22.8866875,26.5026484375,20.68037109375,5865,88023501921.46506,0.9109158994387618,1.1208020712851716,17.13575688284362,1.0
5550,0,,95783148361.5415,10.981289108062327,65.21533966064453,880,1,32.061974609375,25.078560546875,25.29659375,17.938025390625,4568,114212309542.11592,1.1924050471906813,0.9885105308450299,15.157638310079458,1.0
5566,0,,76990253643.41441,10.886435750408959,60.637367248535156,876,1,28.26463671875,15.3807109375,32.875785156250004,15.3807109375,1558,352094007685.8602,4.573228311684847,1.0445987108808719,17.226979967638794,1.0
5567,0,,85477367158.59624,10.931851136724333,62.786487579345696,876,1,22.421328125,18.123,35.449867187500004,14.550132812499996,7491,63774604140.047646,0.7460993039446232,1.5318459187654974,24.397700489769313,1.0
5390,0,,96146881899.0942,10.982935204372986,65.3023452758789,911,1,9.14329296875,28.635236328125,6.03574365234375,6.03574365234375,8596,51650155249.33895,0.5372005230865999,1.623838752005655,24.86646911600986,1.0
5385,0,,96874348974.19957,10.986208796929978,65.46514129638672,911,2,24.3582109375,43.549296875,33.13816015625,6.450703124999997,9176,53226331551.01973,0.5494367922430677,1.262186290709973,19.280280554128094,1.0
5382,0,,103057819112.59525,11.013080947775869,66.8294906616211,912,1,25.0085390625,43.1933046875,13.3481923828125,6.806695312499997,4668,89842169609.22849,0.8717647082272517,2.0826416485043535,31.163512214232316,1.0
5275,0,,87174792694.88963,10.940390923279761,63.19924545288086,935,1,30.07303125,5.01227587890625,28.68003515625,5.01227587890625,3664,147797037148.43314,1.6954102508246893,1.4252376577796946,22.55149800549916,1.0
5163,0,,111908666165.32976,11.048863719433173,68.6875457763672,961,1,42.729078125,37.26053515625,39.3291875,7.270921874999999,6639,73716651805.44023,0.6587215658216671,1.6232335175147872,23.632137371739972,1.0
5193,0,,99541725888.53842,10.998005166419764,66.05970001220703,954,2,38.53881640625,19.220695312500002,10.528604492187501,10.528604492187501,5153,104149019725.25331,1.0462850507723154,1.4390200902213757,21.78363041242183,1.0
5206,0,,95904397596.15413,10.981838521747886,65.243408203125,950,2,44.0207109375,17.29475,21.3806015625,5.979289062500001,1228,532505842311.99286,5.552465326504975,1.126461830914778,17.26552707681545,1.0
5207,0,,97844307435.38759,10.990535563552372,65.6815185546875,950,1,15.649978515625,43.4942890625,5.07147509765625,5.07147509765625,5591,73352918267.88754,0.7496901985465719,1.7471067020522884,26.599669747245855,1.0
