# Transfer functions at z=99
# k/h[Mpc^-1]  T_cdm  T_baryon  T_photon  T_nu  T_total
 2.4637452e-02  9.9057578e+04  6.4840547e+04  4.7087341e+02  1.5595643e+03  9.3140781e+04
 2.5472541e-02  9.6069594e+04  6.1999105e+04  4.2653348e+02  1.3914751e+03  9.0192961e+04
 2.6335936e-02  9.3122891e+04  5.9363820e+04  3.8629932e+02  1.2451158e+03  8.7311914e+04
 2.7228596e-02  9.0236820e+04  5.6961301e+04  3.4988385e+02  1.1368890e+03  8.4518094e+04
 2.8151512e-02  8.7421578e+04  5.4806090e+04  3.1697607e+02  1.0551447e+03  8.1822250e+04
 2.9105711e-02  8.4685977e+04  5.2908102e+04  2.8727759e+02  9.7426105e+02  7.9233148e+04
 3.0092252e-02  8.2036805e+04  5.1271355e+04  2.6050381e+02  8.8108087e+02  7.6757008e+04
 3.1112232e-02  7.9478359e+04  4.9893004e+04  2.3638409e+02  7.8598596e+02  7.4397078e+04
 3.2166785e-02  7.7012359e+04  4.8762680e+04  2.1466106e+02  7.0826196e+02  7.2153297e+04
 3.3257082e-02  7.4638016e+04  4.7862234e+04  1.9509077e+02  6.5356409e+02  7.0022219e+04
 3.4384334e-02  7.2352523e+04  4.7165977e+04  1.7744447e+02  6.0822150e+02  6.7997414e+04
 3.5549795e-02  7.0151562e+04  4.6641402e+04  1.6151094e+02  5.5561542e+02  6.6070109e+04
 3.6754759e-02  6.8030570e+04  4.6249875e+04  1.4709924e+02  4.9647162e+02  6.4230496e+04
 3.8000566e-02  6.5984336e+04  4.5947996e+04  1.3403691e+02  4.4809833e+02  6.2467551e+04
 3.9288600e-02  6.4007777e+04  4.5688609e+04  1.2216930e+02  4.1822812e+02  6.0769746e+04
 4.1140452e-02  6.1431758e+04  4.5360184e+04  1.0755711e+02  3.7498068e+02  5.8558488e+04
 4.2992304e-02  5.9024855e+04  4.4863324e+04  9.5114532e+01  3.2183902e+02  5.6462809e+04
 4.4844155e-02  5.6783086e+04  4.4143707e+04  8.4431252e+01  2.9537256e+02  5.4471156e+04
 4.6696007e-02  5.4655375e+04  4.3129328e+04  7.5137650e+01  2.6049484e+02  5.2529301e+04
 4.8547859e-02  5.2606066e+04  4.1792746e+04  6.6974113e+01  2.2071954e+02  5.0603105e+04
 5.0399711e-02  5.0612609e+04  4.0145262e+04  5.9756123e+01  2.0172685e+02  4.8675574e+04
 5.2251563e-02  4.8666367e+04  3.8233078e+04  5.3352222e+01  1.6742232e+02  4.6746422e+04
 5.4103415e-02  4.6769496e+04  3.6127902e+04  4.7668331e+01  1.4424298e+02  4.4828758e+04
 5.5955267e-02  4.4930500e+04  3.3916312e+04  4.2631565e+01  1.4011491e+02  4.2943203e+04
 5.7807119e-02  4.3159605e+04  3.1688688e+04  3.8180092e+01  1.2329486e+02  4.1112188e+04
 5.9658971e-02  4.1465887e+04  2.9530426e+04  3.4259224e+01  1.2084812e+02  3.9356742e+04
 6.1510823e-02  3.9856414e+04  2.7516127e+04  3.0817158e+01  1.1837595e+02  3.7694305e+04
 6.3362674e-02  3.8336809e+04  2.5706205e+04  2.7805185e+01  1.0180374e+02  3.6138875e+04
 6.5214526e-02  3.6911883e+04  2.4144955e+04  2.5178011e+01  9.5516228e+01  3.4701527e+04
 6.7066378e-02  3.5585715e+04  2.2859365e+04  2.2892305e+01  8.1939941e+01  3.3389766e+04
 6.8918230e-02  3.4360836e+04  2.1858314e+04  2.0907282e+01  7.0377464e+01  3.2207137e+04
 7.0770082e-02  3.3237145e+04  2.1132682e+04  1.9183943e+01  7.2331261e+01  3.1152223e+04
 7.2621934e-02  3.2211137e+04  2.0656729e+04  1.7684717e+01  6.3768517e+01  3.0217941e+04
 7.4473786e-02  3.1275879e+04  2.0391010e+04  1.6374737e+01  5.6888287e+01  2.9392416e+04
 7.6325638e-02  3.0421557e+04  2.0286357e+04  1.5221867e+01  5.5471329e+01  2.8659805e+04
 7.8177490e-02  2.9636410e+04  2.0288350e+04  1.4197287e+01  4.9753983e+01  2.8001740e+04
 8.0029342e-02  2.8907564e+04  2.0341662e+04  1.3276174e+01  4.8998077e+01  2.7398889e+04
 8.1881193e-02  2.8221793e+04  2.0393879e+04  1.2437484e+01  4.5574024e+01  2.6831963e+04
 8.3733045e-02  2.7566174e+04  2.0398809e+04  1.1664165e+01  4.0142979e+01  2.6282963e+04
 8.5584897e-02  2.6928971e+04  2.0319238e+04  1.0943025e+01  4.0390423e+01  2.5736316e+04
 8.7436749e-02  2.6300588e+04  2.0129113e+04  1.0264330e+01  3.7102139e+01  2.5179867e+04
 8.9288601e-02  2.5674434e+04  1.9814832e+04  9.6217499e+00  3.3713932e+01  2.4606000e+04
 9.1140453e-02  2.5047344e+04  1.9375398e+04  9.0117311e+00  3.3467815e+01  2.4011930e+04
 9.2992305e-02  2.4419324e+04  1.8821227e+04  8.4327755e+00  3.0491606e+01  2.3399236e+04
 9.4844157e-02  2.3792695e+04  1.8171820e+04  7.8848181e+00  2.8155338e+01  2.2772922e+04
 9.6696009e-02  2.3170982e+04  1.7452840e+04  7.3684282e+00  2.7194815e+01  2.2139930e+04
 9.8547861e-02  2.2557984e+04  1.6693164e+04  6.8842902e+00  2.5068272e+01  2.1507918e+04
 1.0039971e-01  2.1957348e+04  1.5922414e+04  6.4329462e+00  2.3590002e+01  2.0884553e+04
 1.0225156e-01  2.1372611e+04  1.5169093e+04  6.0146384e+00  2.2781145e+01  2.0277232e+04
 1.0410342e-01  2.0807475e+04  1.4459194e+04  5.6292911e+00  2.1562603e+01  1.9693090e+04
 1.0595527e-01  2.0265918e+04  1.3815006e+04  5.2764964e+00  2.0863651e+01  1.9138928e+04
 1.0780712e-01  1.9751918e+04  1.3253894e+04  4.9554191e+00  2.0142139e+01  1.8620775e+04
 1.0965897e-01  1.9268809e+04  1.2787144e+04  4.6647015e+00  1.8188658e+01  1.8143178e+04
 1.1151082e-01  1.8818537e+04  1.2419144e+04  4.4024143e+00  1.6939978e+01  1.7708457e+04
 1.1336268e-01  1.8401145e+04  1.2147166e+04  4.1660495e+00  1.5687746e+01  1.7316221e+04
 1.1521453e-01  1.8014740e+04  1.1962010e+04  3.9526739e+00  1.3700748e+01  1.6963449e+04
 1.1706638e-01  1.7656014e+04  1.1849429e+04  3.7591748e+00  1.3578502e+01  1.6645172e+04
 1.1891823e-01  1.7320627e+04  1.1791646e+04  3.5823989e+00  1.3060570e+01  1.6354974e+04
 1.2077008e-01  1.7004359e+04  1.1769683e+04  3.4194744e+00  1.1684566e+01  1.6086364e+04
 1.2262194e-01  1.6703199e+04  1.1764611e+04  3.2678645e+00  1.1999169e+01  1.5833059e+04
 1.2447379e-01  1.6413561e+04  1.1758850e+04  3.1253932e+00  1.1164468e+01  1.5589298e+04
 1.2632564e-01  1.6132194e+04  1.1736992e+04  2.9902766e+00  1.0261615e+01  1.5349975e+04
 1.2817749e-01  1.5856110e+04  1.1686401e+04  2.8610830e+00  1.0621331e+01  1.5110623e+04
 1.3002934e-01  1.5582611e+04  1.1597739e+04  2.7367063e+00  9.4825773e+00  1.4867519e+04
 1.3188119e-01  1.5309486e+04  1.1465350e+04  2.6163940e+00  9.2193136e+00  1.4617937e+04
 1.3373305e-01  1.5035243e+04  1.1287494e+04  2.4997101e+00  9.2685728e+00  1.4360359e+04
 1.3558490e-01  1.4759306e+04  1.1066274e+04  2.3865130e+00  8.0869608e+00  1.4094617e+04
 1.3743675e-01  1.4482011e+04  1.0807222e+04  2.2769203e+00  8.2913771e+00  1.3821868e+04
 1.3928860e-01  1.4204459e+04  1.0518554e+04  2.1712017e+00  7.9308891e+00  1.3544300e+04
 1.4114045e-01  1.3928245e+04  1.0210263e+04  2.0697188e+00  7.0434928e+00  1.3264803e+04
 1.4299231e-01  1.3655183e+04  9.8931367e+03  1.9728475e+00  7.3508577e+00  1.2986581e+04
 1.4484416e-01  1.3387105e+04  9.5779043e+03  1.8809078e+00  6.7082248e+00  1.2712830e+04
 1.4669601e-01  1.3125756e+04  9.2745166e+03  1.7941504e+00  6.2895389e+00  1.2446561e+04
 1.5256308e-01  1.2359064e+04  8.4783574e+03  1.5545501e+00  5.7060370e+00  1.1680019e+04
 1.5866481e-01  1.1682410e+04  8.0027158e+03  1.3586024e+00  5.0560946e+00  1.1038762e+04
 1.6501057e-01  1.1094079e+04  7.7988594e+03  1.1981293e+00  4.3570147e+00  1.0513779e+04
 1.7161013e-01  1.0550297e+04  7.6457939e+03  1.0588914e+00  3.7868149e+00  1.0034042e+04
 1.7847364e-01  1.0004709e+04  7.3318730e+03  9.3003494e-01  3.3271265e+00  9.5278037e+03
 1.8561165e-01  9.4406699e+03  6.8188320e+03  8.0927837e-01  3.0644386e+00  8.9751660e+03
 1.9303515e-01  8.8841182e+03  6.2608711e+03  7.0120549e-01  2.4402497e+00  8.4218252e+03
 2.0075555e-01  8.3739248e+03  5.8436118e+03  6.1015576e-01  2.3644397e+00  7.9292158e+03
